City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,74.39,92,97,1.01,US,1663084152
1,shelburne,44.0787,-80.2041,66.24,64,87,6.44,CA,1663084423
2,faanui,-16.4833,-151.75,77.54,76,100,20.62,PF,1663084426
3,bredasdorp,-34.5322,20.0403,60.19,69,0,9.71,ZA,1663084428
4,luce,48.4369,1.4636,78.55,59,99,6.24,FR,1663084431
5,lahad datu,5.0268,118.327,77.77,86,15,1.45,MY,1663084433
6,green river,41.5286,-109.4662,57.6,15,99,7.31,US,1663084435
7,lebu,-37.6167,-73.65,55.89,64,13,8.12,CL,1663084438
8,atuona,-9.8,-139.0333,75.45,72,1,13.2,PF,1663084440
9,anadyr,64.75,177.4833,39.7,100,75,6.71,RU,1663084442
10,verkhnetulomskiy,68.6073,31.7962,50.13,86,94,6.64,RU,1663084445
11,hobart,-42.8794,147.3294,40.05,91,31,5.75,AU,1663084447
12,new norfolk,-42.7826,147.0587,39.7,73,47,2.44,AU,1663084451
13,port elizabeth,-33.918,25.5701,64.09,76,0,10.36,ZA,1663084454
14,ushuaia,-54.8,-68.3,46.06,57,75,17.27,AR,1663084456
15,mahebourg,-20.4081,57.7,70.25,83,40,6.91,MU,1663084458
16,ust-tsilma,65.441,52.1498,43.45,97,86,5.23,RU,1663084461
17,margate,51.3813,1.3862,65.3,82,100,4.0,GB,1663084463
18,oswego,43.4501,-76.1497,64.58,96,82,3.0,US,1663084416
19,sainte-marie,-20.8968,55.5496,71.76,73,100,10.36,RE,1663084468
20,arraial do cabo,-22.9661,-42.0278,82.36,78,40,11.5,BR,1663084470
21,ponta do sol,32.6667,-17.1,81.01,75,78,11.65,PT,1663084472
22,palmer,42.1584,-72.3287,77.25,79,75,8.05,US,1663084475
23,naze,28.3667,129.4833,81.52,85,41,16.96,JP,1663084477
24,pevek,69.7008,170.3133,34.2,92,100,5.28,RU,1663084482
25,iqaluit,63.7506,-68.5145,42.53,86,100,10.36,CA,1663084484
26,yellowknife,62.456,-114.3525,46.92,87,20,2.3,CA,1663084486
27,ribeira grande,38.5167,-28.7,79.2,89,75,11.5,PT,1663084489
28,bluff,-46.6,168.3333,42.91,70,89,9.82,NZ,1663084491
29,rikitea,-23.1203,-134.9692,71.2,75,32,0.76,PF,1663084493
30,punta arenas,-53.15,-70.9167,44.62,70,75,17.27,CL,1663084385
31,nosy varika,-20.5833,48.5333,69.84,81,6,8.16,MG,1663084498
32,tura,25.5198,90.2201,71.65,98,99,4.81,IN,1663084500
33,den helder,52.9599,4.7593,68.99,70,100,8.99,NL,1663084237
34,jamestown,42.097,-79.2353,66.18,75,20,7.0,US,1663084505
35,hamilton,39.1834,-84.5333,69.26,69,75,6.91,US,1663084393
36,cherskiy,68.75,161.3,35.94,99,100,4.16,RU,1663084509
37,lavrentiya,65.5833,-171.0,45.48,91,100,6.11,RU,1663084511
38,bulaevo,54.9056,70.4439,49.14,58,97,2.28,KZ,1663084516
39,vaini,-21.2,-175.2,71.76,94,20,4.61,TO,1663084518
40,kaitangata,-46.2817,169.8464,36.09,93,98,9.31,NZ,1663084520
41,chute-aux-outardes,49.1168,-68.399,58.98,100,100,9.22,CA,1663084523
42,hasaki,35.7333,140.8333,75.6,91,100,3.69,JP,1663084525
43,dois corregos,-22.3661,-48.3803,81.14,41,93,5.68,BR,1663084529
44,busselton,-33.65,115.3333,55.42,56,88,17.63,AU,1663084532
45,san patricio,28.017,-97.5169,87.75,57,18,4.65,US,1663084534
46,puerto ayacucho,5.6639,-67.6236,85.62,66,97,2.42,VE,1663084536
47,avarua,-21.2078,-159.775,71.65,83,29,6.91,CK,1663084539
48,shimoda,34.6667,138.95,77.92,89,100,6.24,JP,1663084541
49,nikolskoye,59.7035,30.7861,58.89,74,55,5.01,RU,1663084544
50,tuktoyaktuk,69.4541,-133.0374,33.8,93,100,17.27,CA,1663084546
51,mataura,-46.1927,168.8643,31.91,99,85,3.15,NZ,1663084548
52,gizo,-8.103,156.8419,81.21,77,88,7.47,SB,1663084550
53,santa isabel,-23.3156,-46.2214,72.36,53,91,1.81,BR,1663084553
54,sao jose de ribamar,-2.5619,-44.0542,89.98,68,44,15.05,BR,1663084555
55,kavieng,-2.5744,150.7967,82.45,69,73,17.98,PG,1663084558
56,paragominas,-2.9667,-47.4833,97.3,32,40,4.88,BR,1663084357
57,new richmond,45.123,-92.5366,70.72,28,2,6.53,US,1663084563
58,kualakapuas,-3.0091,114.3876,73.85,98,93,0.81,ID,1663084565
59,east london,-33.0153,27.9116,65.34,68,0,9.22,ZA,1663084568
60,kapaa,22.0752,-159.319,74.1,91,10,9.91,US,1663084570
61,flinders,-34.5833,150.8552,46.38,82,36,1.99,AU,1663084572
62,kautokeino,69.0125,23.0412,47.23,89,100,2.01,NO,1663084575
63,lasa,46.6166,10.7002,72.36,50,39,1.12,IT,1663084577
64,great falls,47.5002,-111.3008,69.67,28,100,4.12,US,1663084581
65,provideniya,64.3833,-173.3,46.87,93,100,4.41,RU,1663084584
66,longyearbyen,78.2186,15.6401,37.24,75,75,8.05,SJ,1663084586
67,portland,45.5234,-122.6762,64.81,80,100,1.01,US,1663084584
68,waipawa,-41.4122,175.5153,43.16,92,32,17.36,NZ,1663084590
69,bambous virieux,-20.3428,57.7575,70.21,83,40,6.91,MU,1663084593
70,georgetown,5.4112,100.3354,81.9,86,20,3.44,MY,1663084395
71,severo-kurilsk,50.6789,156.125,54.34,85,96,2.82,RU,1663084597
72,castro,-24.7911,-50.0119,71.78,70,88,9.82,BR,1663084600
73,geraldton,-28.7667,114.6,59.41,72,75,9.22,AU,1663084602
74,cidreira,-30.1811,-50.2056,67.42,62,28,13.82,BR,1663084604
75,hermanus,-34.4187,19.2345,65.8,65,0,15.05,ZA,1663084611
76,camacha,33.0833,-16.3333,74.62,73,40,14.97,PT,1663084613
77,springbok,-29.6643,17.8865,73.54,7,0,10.13,ZA,1663084616
78,beihai,21.4833,109.1,84.76,75,94,7.63,CN,1663084618
79,butaritari,3.0707,172.7902,80.24,78,97,5.03,KI,1663084620
80,umba,66.6871,34.3429,50.59,88,98,6.6,RU,1663084623
81,husavik,66.0449,-17.3389,46.4,90,97,11.52,IS,1663084625
82,puerto ayora,-0.7393,-90.3518,69.76,97,100,3.0,EC,1663084627
83,hilo,19.7297,-155.09,77.29,95,53,3.0,US,1663084630
84,khatanga,71.9667,102.5,31.26,74,87,7.45,RU,1663084632
85,vikhorevka,56.1201,101.1636,36.99,81,61,3.29,RU,1663084636
86,kruisfontein,-34.0033,24.7314,61.88,75,1,4.27,ZA,1663084639
87,whitehorse,60.7161,-135.0538,43.81,78,75,12.66,CA,1663084641
88,mpanda,-6.3655,31.0409,80.98,40,78,3.04,TZ,1663084644
89,mehamn,71.0357,27.8492,44.55,76,40,8.05,NO,1663084646
90,kidal,18.4411,1.4078,104.34,12,15,3.15,ML,1663084648
91,vryheid,-27.7695,30.7917,53.1,88,98,5.75,ZA,1663084652
92,saskylakh,71.9167,114.0833,35.22,86,100,2.77,RU,1663084657
93,kieta,-6.2167,155.6333,78.39,83,82,4.94,PG,1663084659
94,qaanaaq,77.484,-69.3632,37.26,76,100,3.89,GL,1663084661
95,tasiilaq,65.6145,-37.6368,38.01,85,62,2.04,GL,1663084664
96,kulhudhuffushi,6.6221,73.07,81.16,80,51,5.7,MV,1663084666
97,manokwari,-0.8667,134.0833,79.25,77,87,11.52,ID,1663084671
98,amurzet,47.6967,131.0981,46.06,96,0,4.76,RU,1663084674
99,vanderhoof,54.0166,-124.0198,54.0,56,0,4.41,CA,1663084678
100,deputatskiy,69.3,139.9,32.16,71,100,3.8,RU,1663084681
101,los llanos de aridane,28.6585,-17.9182,74.95,80,40,8.01,ES,1663084683
102,atar,20.5169,-13.0499,104.0,21,30,8.93,MR,1663084685
103,zhezkazgan,47.8043,67.7144,58.71,31,89,7.83,KZ,1663084688
104,kalengwa,-13.4659,25.0027,83.82,13,0,5.23,ZM,1663084690
105,victoria,22.2855,114.1577,90.18,62,4,8.99,HK,1663084694
106,omboue,-1.5746,9.2618,77.95,69,74,8.1,GA,1663084697
107,pontarlier,46.8333,6.25,75.54,60,99,2.98,FR,1663084701
108,conceicao do araguaia,-8.2578,-49.2647,104.76,16,15,7.14,BR,1663084704
109,airai,-8.9266,125.4092,57.67,79,20,3.27,TL,1663084706
110,tiksi,71.6872,128.8694,38.26,85,83,6.22,RU,1663084708
111,berlevag,70.8578,29.0864,44.6,74,100,12.01,NO,1663084711
112,kodiak,57.79,-152.4072,48.16,84,98,2.93,US,1663084713
113,skibbereen,51.55,-9.2667,64.92,68,100,12.88,IE,1663084588
114,mosquera,4.7059,-74.2302,59.09,67,40,2.3,CO,1663084646
115,maine-soroa,13.2114,12.0241,94.19,40,87,9.62,NE,1663084728
